,GEOID_COUSUB,med_hh_inc
227,0600000US5108594631,70570
228,0600000US5108595759,92093
229,0600000US5108790496,68964
230,0600000US5108793511,53109
231,0600000US5108796079,93238
232,0600000US5108796119,79591
233,0600000US5108796175,54907
234,0600000US5108990288,30758
235,0600000US5108990944,33679
236,0600000US5108993919,36865
237,0600000US5108993975,39375
238,0600000US5108995263,40478
239,0600000US5108995295,37500
240,0600000US5109190368,49531
241,0600000US5109194743,46857
242,0600000US5109195935,38125
243,0600000US5109390616,66344
244,0600000US5109393839,53264
245,0600000US5109394839,89722
246,0600000US5109395727,88672
247,0600000US5109396431,64432
248,0600000US5109590224,99575
249,0600000US5109594063,81101
250,0600000US5109595159,76378
251,0600000US5109595375,79605
252,0600000US5109595911,78292
253,0600000US5109790552,51875
254,0600000US5109794863,49000
255,0600000US5109795527,54375
256,0600000US5109795631,55699
257,0600000US5109795903,56667
258,0600000US5109991080,81250
259,0600000US5109994031,103250
260,0600000US5109994039,95307
261,0600000US5109995687,68104
262,0600000US5110190016,66984
263,0600000US5110194479,82872
264,0600000US5110196327,62467
265,0600000US5110391241,44042
266,0600000US5110391391,53125
267,0600000US5110391541,76765
268,0600000US5110391691,36853
269,0600000US5110391841,47540
270,0600000US5110591247,30212
271,0600000US5110591397,33647
272,0600000US5110591547,33207
273,0600000US5110591697,41898
274,0600000US5110591847,23125
275,0600000US5110790022,125184
276,0600000US5110790076,153326
277,0600000US5110790400,153634
278,0600000US5110790488,121085
279,0600000US5110790656,162940
280,0600000US5110793415,154350
281,0600000US5110794247,107450
282,0600000US5110795887,105109
283,0600000US5110991040,65188
284,0600000US5110993767,60556
285,0600000US5110993999,64891
286,0600000US5110994375,56107
287,0600000US5110994711,58446
288,0600000US5110994759,61167
289,0600000US5110995015,50402
290,0600000US5111190192,46681
291,0600000US5111190512,45577
292,0600000US5111193927,36458
293,0600000US5111194383,32500
294,0600000US5111194647,41129
295,0600000US5111195111,43500
296,0600000US5111195279,45536
297,0600000US5111394335,64474
298,0600000US5111395223,42207
299,0600000US5111395383,55319
300,0600000US5111590808,85705
301,0600000US5111595055,58125
302,0600000US5111596335,67716
303,0600000US5111791253,39286
304,0600000US5111791403,35380
305,0600000US5111791553,42949
306,0600000US5111791703,47543
307,0600000US5111791853,28317
308,0600000US5111792003,46914
309,0600000US5111792153,36463
310,0600000US5111792303,42083
311,0600000US5111792453,51313
312,0600000US5111994023,51167
313,0600000US5111995079,55938
314,0600000US5111995559,47382
315,0600000US5112192713,60171
316,0600000US5112192813,67870
317,0600000US5112192913,57423
318,0600000US5112193013,56034
319,0600000US5112193113,51104
320,0600000US5112193213,39574
321,0600000US5112193313,25160
322,0600000US5112590732,68772
323,0600000US5112593427,63980
324,0600000US5112594883,78132
325,0600000US5112595755,36172
326,0600000US5112596283,66310
327,0600000US5112791257,81010
328,0600000US5112791407,87235
329,0600000US5112791557,71125
330,0600000US5112791707,72578
331,0600000US5112791857,89231
332,0600000US5113191258,38143
333,0600000US5113191408,48472
334,0600000US5113191558,41217
335,0600000US5113191708,47471
336,0600000US5113191858,39958
337,0600000US5113192008,42059
338,0600000US5113391259,55417
339,0600000US5113391409,58750
340,0600000US5113391559,38281
341,0600000US5113391709,68162
342,0600000US5113391859,63750
343,0600000US5113591260,44257
344,0600000US5113591410,41544
345,0600000US5113591560,55482
346,0600000US5113591710,33952
347,0600000US5113591860,46103
348,0600000US5113791261,67993
349,0600000US5113791411,58278
350,0600000US5113791561,47577
351,0600000US5113791711,76855
352,0600000US5113791861,74564
353,0600000US5113991262,52260
354,0600000US5113991412,41597
355,0600000US5113991562,43966
356,0600000US5113991712,53564
357,0600000US5113991862,47817
358,0600000US5114190408,30306
359,0600000US5114191096,30409
360,0600000US5114194591,42500
361,0600000US5114195039,49625
362,0600000US5114195735,47804
363,0600000US5114390152,39852
364,0600000US5114390592,45804
365,0600000US5114390800,62152
366,0600000US5114391104,47049
367,0600000US5114395879,43317
368,0600000US5114396127,42253
369,0600000US5114396319,41679
370,0600000US5114591265,94273
371,0600000US5114591415,90966
372,0600000US5114591565,90880
373,0600000US5114591715,79054
374,0600000US5114591865,72656
375,0600000US5114792553,37893
376,0600000US5114792563,50625
377,0600000US5114792573,36892
378,0600000US5114792583,68798
379,0600000US5114792593,53929
380,0600000US5114792603,43333
381,0600000US5114792613,64306
382,0600000US5114792623,35057
383,0600000US5114990328,65863
384,0600000US5114990352,64037
385,0600000US5114990472,89566
386,0600000US5114995343,65733
387,0600000US5114996063,84856
388,0600000US5115390480,131017
389,0600000US5115390928,119357
390,0600000US5115393671,103750
391,0600000US5115394807,83600
392,0600000US5115394943,103845
393,0600000US5115395133,101357
394,0600000US5115396455,82326
395,0600000US5115590904,53885
396,0600000US5115593399,47308
397,0600000US5115593967,58993
398,0600000US5115594551,51313
399,0600000US5115595391,48981
400,0600000US5115793823,58333
401,0600000US5115794007,102750
402,0600000US5115795063,59063
403,0600000US5115795967,63368
404,0600000US5115796199,66000
405,0600000US5115991271,29102
406,0600000US5115991421,50368
407,0600000US5115991571,48482
408,0600000US5115991721,59909
409,0600000US5115991871,67982
410,0600000US5116190648,67730
411,0600000US5116190664,62844
412,0600000US5116193911,70758
413,0600000US5116196183,54390
414,0600000US5116196439,74231
415,0600000US5116390568,56672
416,0600000US5116394143,65360
417,0600000US5116394799,46250
418,0600000US5116395799,51352
419,0600000US5116396215,40781
420,0600000US5116590080,62667
421,0600000US5116590736,68865
422,0600000US5116594287,58792
423,0600000US5116595095,53267
424,0600000US5116595951,57684
425,0600000US5116790632,30278
426,0600000US5116794191,44828
427,0600000US5116794831,33851
428,0600000US5116991276,42399
429,0600000US5116991426,39153
430,0600000US5116991576,37813
431,0600000US5116991726,39583
432,0600000US5116991876,39201
433,0600000US5116992026,36667
434,0600000US5117191277,50672
435,0600000US5117191427,54110
436,0600000US5117191577,65728
437,0600000US5117191727,44643
438,0600000US5117191877,59632
439,0600000US5117192027,53423
440,0600000US5117390104,33735
441,0600000US5117390832,47102
442,0600000US5117394895,42548
443,0600000US5117394991,39356
444,0600000US5117395479,33039
445,0600000US5117395511,45913
446,0600000US5117395551,33582
447,0600000US5117590240,50625
448,0600000US5117590458,50000
449,0600000US5117590608,55461
450,0600000US5117593407,33523
451,0600000US5117593639,70473
452,0600000US5117594103,57500
453,0600000US5117594855,50735
454,0600000US5117790168,89731
455,0600000US5117790232,77435
456,0600000US5117790760,104446
457,0600000US5117791008,76563
458,0600000US5117794231,85773
459,0600000US5117794311,90735
460,0600000US5117795543,81852
461,0600000US5117990064,111190
462,0600000US5117993535,91815
463,0600000US5117993683,126705
464,0600000US5117993687,84074
465,0600000US5117993783,90963
466,0600000US5117993863,123789
467,0600000US5117995407,137338
468,0600000US5118190136,51250
469,0600000US5118190624,53659
470,0600000US5118190848,34112
471,0600000US5118191136,63519
472,0600000US5118196023,63299
473,0600000US5118391000,44408
474,0600000US5118393895,26214
475,0600000US5118394871,72909
476,0600000US5118395975,53333
477,0600000US5118396207,32071
478,0600000US5118396263,46842
479,0600000US5118593439,42907
480,0600000US5118594887,40016
481,0600000US5118594927,30169
482,0600000US5118595767,46010
483,0600000US5118596295,43946
484,0600000US5118793599,68977
485,0600000US5118793831,74015
486,0600000US5118794919,67969
487,0600000US5118795663,63328
488,0600000US5118795807,63750
489,0600000US5119193855,46552
490,0600000US5119194087,41986
